Volatility,Call_Price,Put_Price,Delta,Vega,Gamma
10.0,39.07377406689241,1.5641833982792793e-16,0.9999999999999998,1.0723078948193868e-15,3.670931083756871e-16
12.916666666666668,39.0737740670607,1.6829585988949125e-10,0.9999999998420532,5.499725293769291e-10,1.4576299163925352e-10
15.833333333333336,39.0737742831555,2.1626313709913542e-07,0.9999998622912851,3.9607162982895907e-07,8.563634210842512e-08
18.75,39.0737888897861,1.4822893709782016e-05,0.9999931233840867,1.6940869000292454e-05,3.0930799085836057e-06
21.666666666666668,39.07400338537019,0.00022931847780310183,0.9999184701385496,0.00017657095481252744,2.7898695154835418e-05
24.583333333333336,39.07530420384222,0.001530136949826455,0.9995670640217645,0.0008405352218421203,0.00011705012310874978
27.500000000000004,39.07988080345817,0.006106736565778759,0.9985843285758333,0.0025016670348666447,0.0003114250478335594
30.41666666666667,39.091230441871346,0.01745637497895458,0.9966069370983041,0.005524204731396285,0.0006217486843708908
33.333333333333336,39.113526157244394,0.03975209035201277,0.9933991392405898,0.009999778332204619,0.001026995062361767
36.25000000000001,39.1508320969393,0.07705803004692324,0.9888992949631427,0.01577671436953294,0.0014899279931400427
39.16666666666667,39.20654190292112,0.1327678360287332,0.9831922271981377,0.02256555640017323,0.001972359891285933
42.08333333333334,39.28312786794908,0.20935380105668866,0.9764540221387239,0.03003762287382796,0.002443498946799975
45.00000000000001,39.382126908733625,0.3083528418412387,0.968900540660462,0.03788749837333228,0.0028823063917949206
47.91666666666667,39.5042574578012,0.43048339090882237,0.9607509967414325,0.04586197843720399,0.0032765961380294673
50.83333333333334,39.64958586050432,0.5758117936119422,0.952206706387585,0.05376706408645635,0.0036209661231564132
53.75000000000001,39.81769430005082,0.7439202331584429,0.9434411769245052,0.061463468202423904,0.003914671480125947
56.66666666666668,40.0078276456984,0.934053578806024,0.934597415631391,0.06885751284617696,0.0041598760757344455
59.58333333333334,40.21901191893704,1.1452378520446533,0.9257892747543053,0.07589119993306423,0.004360370087975962
62.5,40.45014490200896,1.376370835116587,0.9171047216342259,0.0825332144459869,0.004520697740876762
65.41666666666667,40.700062708592924,1.6262886417005262,0.9086097691404518,0.08877148139319362,0.004645599694893779
68.33333333333333,40.967587017953946,1.8938129510615518,0.9003523763405632,0.09460733158412771,0.004739678839031594
71.25,41.25155742657991,2.1777833596875276,0.8923659859168847,0.1000510901548241,0.004807216528832557
74.16666666666667,41.550852694017976,2.477078627125593,0.8846725710866217,0.10511882828617031,0.004852085874720194
77.08333333333334,41.86440389722354,2.790629830331138,0.8772851758463769,0.10983002295145239,0.004877725043249029
80.0,42.19120181064902,3.1174277437566644,0.8702099866198612,0.11420590449803428,0.0048871458327859425
